,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
8881,8882,H38295,H,298.0,309.2,1520,37.9,89,0,No Failure,6032.7,3172.7,11.199999999999989
8882,8883,L56062,L,298.0,309.2,1378,49.7,94,0,No Failure,7171.9,4311.9,11.199999999999989
8883,8884,M23743,M,297.9,309.2,1529,38.1,96,0,No Failure,6100.44,3240.44,11.300000000000011
8884,8885,L56064,L,298.0,309.2,1527,32.4,99,0,No Failure,5180.99,2320.99,11.199999999999989
8885,8886,M23745,M,298.0,309.2,1438,42.9,101,0,No Failure,6460.18,3600.18,11.199999999999989
8886,8887,L56066,L,297.9,309.0,1583,36.7,104,0,No Failure,6083.81,3223.81,11.100000000000023
8887,8888,L56067,L,297.8,308.9,1530,37.6,106,0,No Failure,6024.32,3164.32,11.099999999999966
8888,8889,M23748,M,297.7,308.9,1530,39.1,108,0,No Failure,6264.65,3404.65,11.199999999999989
8889,8890,M23749,M,297.7,308.8,2089,19.1,111,0,No Failure,4178.31,1318.31,11.100000000000023
8890,8891,L56070,L,297.7,308.8,1616,34.2,114,0,No Failure,5787.57,2927.57,11.100000000000023
8891,8892,M23751,M,297.7,308.9,1681,28.3,116,0,No Failure,4981.76,2121.76,11.199999999999989
8892,8893,L56072,L,297.6,308.8,1475,43.0,119,0,No Failure,6641.85,3781.85,11.199999999999989
8893,8894,L56073,L,297.5,308.7,1371,46.5,121,0,No Failure,6676.04,3816.04,11.199999999999989
8894,8895,M23754,M,297.5,308.7,1546,38.0,123,0,No Failure,6152.08,3292.08,11.199999999999989
8895,8896,H38309,H,297.4,308.6,1461,40.1,126,0,No Failure,6135.12,3275.12,11.200000000000045
8896,8897,L56076,L,297.4,308.7,1638,31.9,131,0,No Failure,5471.84,2611.84,11.300000000000011
8897,8898,M23757,M,297.3,308.7,1577,35.6,133,0,No Failure,5879.09,3019.09,11.399999999999977
8898,8899,L56078,L,297.4,308.6,1532,38.7,136,0,No Failure,6208.67,3348.67,11.200000000000045
8899,8900,M23759,M,297.3,308.5,1710,27.7,138,0,No Failure,4960.26,2100.26,11.199999999999989
8900,8901,M23760,M,297.3,308.6,1584,29.4,141,0,No Failure,4876.76,2016.76,11.300000000000011
8901,8902,L56081,L,297.3,308.6,1446,50.1,144,0,No Failure,7586.38,4726.38,11.300000000000011
8902,8903,H38316,H,297.4,308.7,1522,46.3,146,0,No Failure,7379.45,4519.45,11.300000000000011
8903,8904,M23763,M,297.4,308.7,1382,49.9,151,0,No Failure,7221.66,4361.66,11.300000000000011
8904,8905,L56084,L,297.4,308.7,1584,38.2,154,0,No Failure,6336.47,3476.47,11.300000000000011
8905,8906,L56085,L,297.3,308.6,1385,55.2,156,0,No Failure,8006.03,5146.03,11.300000000000011
8906,8907,L56086,L,297.3,308.7,1592,34.4,158,0,No Failure,5734.96,2874.96,11.399999999999977
8907,8908,M23767,M,297.2,308.6,1404,43.7,160,0,No Failure,6425.06,3565.06,11.400000000000034
8908,8909,L56088,L,297.2,308.5,1518,44.3,163,0,No Failure,7042.13,4182.13,11.300000000000011
8909,8910,L56089,L,297.1,308.4,1529,40.4,165,0,No Failure,6468.71,3608.71,11.299999999999955
8910,8911,L56090,L,297.1,308.4,1550,37.0,167,0,No Failure,6005.68,3145.68,11.299999999999955
8911,8912,L56091,L,297.1,308.3,1773,23.8,169,0,No Failure,4418.9,1558.9,11.199999999999989
8912,8913,L56092,L,297.2,308.5,1446,43.7,171,0,No Failure,6617.26,3757.26,11.300000000000011
8913,8914,M23773,M,297.2,308.5,1487,46.9,173,0,No Failure,7303.19,4443.19,11.300000000000011
8914,8915,M23774,M,297.3,308.5,1524,49.3,176,0,No Failure,7867.93,5007.93,11.199999999999989
8915,8916,L56095,L,297.1,308.3,1403,54.1,179,0,No Failure,7948.47,5088.47,11.199999999999989
8916,8917,L56096,L,297.1,308.2,2267,15.7,181,0,No Failure,3727.18,867.18,11.099999999999966
8917,8918,M23777,M,297.1,308.2,1529,37.9,183,0,No Failure,6068.42,3208.42,11.099999999999966
8918,8919,L56098,L,297.1,308.2,1402,51.2,186,0,No Failure,7517.04,4657.04,11.099999999999966
8919,8920,L56099,L,297.2,308.3,1693,28.0,188,0,No Failure,4964.14,2104.14,11.100000000000023
8920,8921,L56100,L,297.1,308.3,1496,45.8,190,0,No Failure,7175.06,4315.06,11.199999999999989
8921,8922,L56101,L,297.1,308.1,1633,33.3,192,0,No Failure,5694.55,2834.55,11.0
8922,8923,L56102,L,297.1,308.2,1399,42.6,194,0,No Failure,6241.03,3381.03,11.099999999999966
8923,8924,M23783,M,297.0,308.1,1363,45.3,196,0,No Failure,6465.81,3605.81,11.100000000000023
8924,8925,H38338,H,297.1,308.2,1527,42.2,199,0,No Failure,6748.08,3888.08,11.099999999999966
8925,8926,M23785,M,297.2,308.2,1405,42.5,204,0,No Failure,6253.08,3393.08,11.0
8926,8927,M23786,M,297.3,308.3,1459,59.6,207,1,Power Failure,9106.05,6246.05,11.0
8927,8928,M23787,M,297.4,308.4,1789,25.0,210,0,No Failure,4683.59,1823.59,11.0
8928,8929,L56108,L,297.4,308.4,1531,41.5,213,0,No Failure,6653.53,3793.53,11.0
8929,8930,M23789,M,297.4,308.4,1620,35.8,215,0,No Failure,6073.33,3213.33,11.0
8930,8931,L56110,L,297.4,308.4,1571,39.4,0,0,No Failure,6481.88,3621.88,11.0
8931,8932,L56111,L,297.4,308.4,1434,39.9,2,0,No Failure,5991.71,3131.71,11.0
8932,8933,L56112,L,297.4,308.4,1474,43.6,4,0,No Failure,6729.96,3869.96,11.0
8933,8934,M23793,M,297.3,308.3,1544,41.7,6,0,No Failure,6742.36,3882.36,11.0
8934,8935,L56114,L,297.3,308.2,1601,35.7,9,0,No Failure,5985.33,3125.33,10.899999999999977
8935,8936,L56115,L,297.4,308.3,1801,26.9,11,0,No Failure,5073.35,2213.35,10.900000000000034
8936,8937,L56116,L,297.4,308.3,1465,42.0,13,0,No Failure,6443.41,3583.41,10.900000000000034
8937,8938,M23797,M,297.4,308.4,1340,52.6,15,0,No Failure,7381.07,4521.07,11.0
8938,8939,M23798,M,297.4,308.4,1517,41.0,18,0,No Failure,6513.25,3653.25,11.0
8939,8940,M23799,M,297.3,308.4,1434,44.8,21,0,No Failure,6727.53,3867.53,11.099999999999966
8940,8941,H38354,H,297.3,308.3,1935,19.3,24,0,No Failure,3910.81,1050.81,11.0
8941,8942,M23801,M,297.3,308.3,1595,32.2,29,0,No Failure,5378.3,2518.3,11.0
8942,8943,L56122,L,297.3,308.3,2188,17.0,32,0,No Failure,3895.16,1035.16,11.0
8943,8944,M23803,M,297.3,308.4,1449,44.4,34,0,No Failure,6737.21,3877.21,11.099999999999966
8944,8945,L56124,L,297.3,308.3,1471,38.2,37,0,No Failure,5884.43,3024.43,11.0
8945,8946,L56125,L,297.4,308.2,1639,33.8,39,0,No Failure,5801.29,2941.29,10.800000000000011
8946,8947,M23806,M,297.3,308.2,1846,24.5,41,0,No Failure,4736.16,1876.16,10.899999999999977
8947,8948,M23807,M,297.3,308.2,1452,38.2,44,0,No Failure,5808.43,2948.43,10.899999999999977
8948,8949,M23808,M,297.4,308.3,1483,41.9,47,0,No Failure,6507.04,3647.04,10.900000000000034
8949,8950,L56129,L,297.4,308.3,1284,60.3,50,0,No Failure,8107.95,5247.95,10.900000000000034
8950,8951,L56130,L,297.4,308.2,1419,50.0,52,0,No Failure,7429.87,4569.87,10.800000000000011
8951,8952,L56131,L,297.3,308.1,1763,28.4,54,0,No Failure,5243.23,2383.23,10.800000000000011
8952,8953,M23812,M,297.2,308.0,1478,42.5,56,0,No Failure,6577.97,3717.97,10.800000000000011
8953,8954,L56133,L,297.3,308.0,1518,36.0,59,0,No Failure,5722.73,2862.73,10.699999999999989
8954,8955,L56134,L,297.3,308.0,1447,49.0,61,0,No Failure,7424.94,4564.94,10.699999999999989
8955,8956,M23815,M,297.4,308.0,1355,55.1,63,0,No Failure,7818.43,4958.43,10.600000000000023
8956,8957,L56136,L,297.4,308.1,1348,57.4,66,0,No Failure,8102.71,5242.71,10.700000000000045
8957,8958,L56137,L,297.4,308.1,1348,53.7,68,0,No Failure,7580.41,4720.41,10.700000000000045
8958,8959,M23818,M,297.4,308.1,1734,27.7,70,0,No Failure,5029.88,2169.88,10.700000000000045
8959,8960,L56139,L,297.3,308.0,1420,46.5,73,0,No Failure,6914.65,4054.65,10.699999999999989
8960,8961,L56140,L,297.3,307.9,1797,24.7,75,0,No Failure,4648.08,1788.08,10.599999999999966
8961,8962,M23821,M,297.3,308.0,1403,45.0,77,0,No Failure,6611.48,3751.48,10.699999999999989
8962,8963,L56142,L,297.3,307.9,1628,30.2,80,0,No Failure,5148.61,2288.61,10.599999999999966
8963,8964,M23823,M,297.2,307.9,1687,30.4,82,0,No Failure,5370.53,2510.53,10.699999999999989
8964,8965,M23824,M,297.2,307.9,1456,44.9,85,0,No Failure,6845.99,3985.99,10.699999999999989
8965,8966,L56145,L,297.1,307.9,1496,44.7,88,0,No Failure,7002.74,4142.74,10.799999999999955
8966,8967,L56146,L,297.1,307.8,1636,30.3,90,0,No Failure,5191.04,2331.04,10.699999999999989
8967,8968,L56147,L,297.1,307.8,1536,40.4,92,0,No Failure,6498.32,3638.32,10.699999999999989
8968,8969,L56148,L,297.1,307.8,1454,50.6,94,0,No Failure,7704.48,4844.48,10.699999999999989
8969,8970,L56149,L,297.0,307.8,1396,50.0,96,0,No Failure,7309.44,4449.44,10.800000000000011
8970,8971,L56150,L,297.0,307.6,1575,37.4,98,0,No Failure,6168.52,3308.52,10.600000000000023
8971,8972,L56151,L,296.9,307.6,1514,35.7,100,0,No Failure,5660.08,2800.08,10.700000000000045
8972,8973,M23832,M,296.8,307.4,1455,49.9,102,0,No Failure,7603.13,4743.13,10.599999999999966
8973,8974,L56153,L,296.8,307.4,1549,48.3,105,0,No Failure,7834.79,4974.79,10.599999999999966
8974,8975,L56154,L,296.8,307.5,1474,42.4,107,0,No Failure,6544.73,3684.73,10.699999999999989
8975,8976,H38389,H,296.7,307.4,1661,34.2,109,0,No Failure,5948.73,3088.73,10.699999999999989
8976,8977,L56156,L,296.7,307.4,1535,34.6,114,0,No Failure,5561.77,2701.77,10.699999999999989
8977,8978,M23837,M,296.9,307.5,1556,31.2,116,0,No Failure,5083.85,2223.85,10.600000000000023
8978,8979,L56158,L,296.9,307.6,1435,45.0,119,0,No Failure,6762.28,3902.28,10.700000000000045
8979,8980,M23839,M,296.9,307.5,1332,51.1,121,0,No Failure,7127.77,4267.77,10.600000000000023
8980,8981,L56160,L,297.0,307.6,1513,42.4,124,0,No Failure,6717.9,3857.9,10.600000000000023
8981,8982,L56161,L,297.0,307.7,1502,39.4,126,0,No Failure,6197.19,3337.19,10.699999999999989
8982,8983,L56162,L,297.0,307.7,1315,60.1,128,0,No Failure,8276.16,5416.16,10.699999999999989
8983,8984,M23843,M,297.0,307.7,1261,51.1,130,0,No Failure,6747.84,3887.84,10.699999999999989
8984,8985,L56164,L,297.1,307.8,1406,60.4,133,0,No Failure,8893.05,6033.05,10.699999999999989
8985,8986,L56165,L,297.1,307.8,1584,42.3,135,0,No Failure,7016.56,4156.56,10.699999999999989
8986,8987,M23846,M,297.1,307.8,1443,43.9,137,0,No Failure,6633.76,3773.76,10.699999999999989
8987,8988,L56167,L,297.2,307.9,1580,35.8,140,0,No Failure,5923.37,3063.37,10.699999999999989
8988,8989,L56168,L,297.2,307.9,1825,24.6,142,0,No Failure,4701.39,1841.39,10.699999999999989
8989,8990,L56169,L,297.2,307.9,1469,48.2,144,0,No Failure,7414.77,4554.77,10.699999999999989
8990,8991,L56170,L,297.2,307.9,1493,38.4,146,0,No Failure,6003.71,3143.71,10.699999999999989
8991,8992,M23851,M,297.3,308.0,1598,29.4,148,0,No Failure,4919.86,2059.86,10.699999999999989
8992,8993,H38406,H,297.2,307.9,1450,37.2,151,0,No Failure,5648.58,2788.58,10.699999999999989
8993,8994,M23853,M,297.2,307.9,1632,37.5,156,0,No Failure,6408.85,3548.85,10.699999999999989
8994,8995,M23854,M,297.1,307.9,1980,20.3,159,0,No Failure,4209.11,1349.11,10.799999999999955
8995,8996,L56175,L,297.2,308.0,1474,43.7,162,0,No Failure,6745.4,3885.4,10.800000000000011
8996,8997,L56176,L,297.2,307.9,1540,37.1,164,0,No Failure,5983.06,3123.06,10.699999999999989
8997,8998,M23857,M,297.1,307.9,1609,38.9,166,0,No Failure,6554.42,3694.42,10.799999999999955
8998,8999,L56178,L,297.1,308.0,1467,42.8,169,0,No Failure,6575.1,3715.1,10.899999999999977
8999,9000,L56179,L,297.1,307.9,1492,39.4,171,0,No Failure,6155.93,3295.93,10.799999999999955
9000,9001,L56180,L,297.0,307.9,1493,46.1,173,0,No Failure,7207.58,4347.58,10.899999999999977
9001,9002,L56181,L,297.0,307.8,1500,39.9,175,0,No Failure,6267.48,3407.48,10.800000000000011
9002,9003,L56182,L,297.1,307.8,1477,36.6,177,0,No Failure,5660.96,2800.96,10.699999999999989
9003,9004,L56183,L,297.1,307.9,1342,49.1,179,0,No Failure,6900.22,4040.22,10.799999999999955
9004,9005,M23864,M,297.1,307.8,1538,34.3,181,0,No Failure,5524.32,2664.32,10.699999999999989
9005,9006,L56185,L,297.2,307.9,1337,58.1,184,0,No Failure,8134.6,5274.6,10.699999999999989
9006,9007,L56186,L,297.3,307.9,1417,41.8,186,0,No Failure,6202.61,3342.61,10.599999999999966
9007,9008,L56187,L,297.4,308.0,1383,46.2,188,0,No Failure,6691.03,3831.03,10.600000000000023
9008,9009,M23868,M,297.4,308.0,1440,42.4,190,0,No Failure,6393.77,3533.77,10.600000000000023
9009,9010,L56189,L,297.3,307.9,1579,34.4,193,0,No Failure,5688.13,2828.13,10.599999999999966
9010,9011,L56190,L,297.2,307.9,1441,40.0,195,0,No Failure,6036.05,3176.05,10.699999999999989
9011,9012,M23871,M,297.2,307.9,1530,35.9,197,0,No Failure,5751.94,2891.94,10.699999999999989
9012,9013,L56192,L,297.2,308.0,1705,26.0,200,0,No Failure,4642.23,1782.23,10.800000000000011
9013,9014,H38427,H,297.2,308.0,1435,43.0,202,0,No Failure,6461.73,3601.73,10.800000000000011
9014,9015,M23874,M,297.2,308.1,1340,61.3,207,1,Overstrain Failure,8601.89,5741.89,10.900000000000034
9015,9016,L56195,L,297.2,308.1,1431,49.7,210,1,No Failure,7447.74,4587.74,10.900000000000034
9016,9017,L56196,L,297.3,308.2,1396,52.7,212,1,Overstrain Failure,7704.15,4844.15,10.899999999999977
9017,9018,M23877,M,297.3,308.1,1369,52.0,214,0,No Failure,7454.79,4594.79,10.800000000000011
9018,9019,L56198,L,297.3,308.1,1615,35.4,217,1,Tool Wear Failure,5986.93,3126.93,10.800000000000011
9019,9020,L56199,L,297.2,308.1,1662,31.3,0,0,No Failure,5447.58,2587.58,10.900000000000034
9020,9021,L56200,L,297.3,308.2,1553,33.5,2,0,No Failure,5448.1,2588.1,10.899999999999977
9021,9022,M23881,M,297.4,308.2,1536,34.6,4,0,No Failure,5565.39,2705.39,10.800000000000011
9022,9023,L56202,L,297.4,308.3,1548,46.6,7,0,No Failure,7554.15,4694.15,10.900000000000034
9023,9024,L56203,L,297.4,308.3,1706,30.9,9,0,No Failure,5520.34,2660.34,10.900000000000034
9024,9025,L56204,L,297.4,308.3,1366,45.5,11,0,No Failure,6508.65,3648.65,10.900000000000034
9025,9026,L56205,L,297.5,308.4,1440,35.9,13,0,No Failure,5413.59,2553.59,10.899999999999977
9026,9027,M23886,M,297.5,308.4,1685,28.1,15,0,No Failure,4958.32,2098.32,10.899999999999977
9027,9028,M23887,M,297.4,308.3,1444,44.0,18,0,No Failure,6653.47,3793.47,10.900000000000034
9028,9029,L56208,L,297.4,308.3,1395,48.7,21,0,No Failure,7114.29,4254.29,10.900000000000034
9029,9030,L56209,L,297.4,308.3,1483,38.8,23,0,No Failure,6025.62,3165.62,10.900000000000034
9030,9031,M23890,M,297.5,308.4,1403,44.3,25,0,No Failure,6508.64,3648.64,10.899999999999977
9031,9032,H38445,H,297.5,308.4,1793,23.9,28,0,No Failure,4487.52,1627.52,10.899999999999977
9032,9033,L56212,L,297.4,308.3,1723,28.8,33,0,No Failure,5196.45,2336.45,10.900000000000034
9033,9034,L56213,L,297.4,308.2,1386,41.0,35,0,No Failure,5950.8,3090.8,10.800000000000011
9034,9035,H38448,H,297.4,308.2,1585,46.2,37,0,No Failure,7668.31,4808.31,10.800000000000011
9035,9036,M23895,M,297.3,308.1,1731,27.7,42,0,No Failure,5021.18,2161.18,10.800000000000011
9036,9037,L56216,L,297.3,308.3,1519,37.7,45,0,No Failure,5996.91,3136.91,11.0
9037,9038,L56217,L,297.3,308.2,1896,24.4,47,0,No Failure,4844.59,1984.59,10.899999999999977
9038,9039,L56218,L,297.3,308.3,2358,14.9,49,0,No Failure,3679.24,819.24,11.0
9039,9040,M23899,M,297.3,308.3,1341,51.9,51,0,No Failure,7288.28,4428.28,11.0
9040,9041,L56220,L,297.3,308.3,1550,37.0,54,0,No Failure,6005.68,3145.68,11.0
9041,9042,L56221,L,297.3,308.3,1309,61.5,56,0,No Failure,8430.31,5570.31,11.0
9042,9043,M23902,M,297.3,308.4,1599,32.9,58,0,No Failure,5509.0,2649.0,11.099999999999966
9043,9044,L56223,L,297.4,308.4,1343,40.0,61,0,No Failure,5625.55,2765.55,11.0
9044,9045,L56224,L,297.4,308.4,1378,39.9,63,0,No Failure,5757.72,2897.72,11.0
9045,9046,L56225,L,297.4,308.4,1603,34.6,65,0,No Failure,5808.16,2948.16,11.0
9046,9047,L56226,L,297.4,308.4,1664,28.1,67,0,No Failure,4896.53,2036.53,11.0
9047,9048,L56227,L,297.3,308.4,1488,37.4,69,0,No Failure,5827.78,2967.78,11.099999999999966
9048,9049,M23908,M,297.3,308.4,1370,50.5,71,0,No Failure,7245.04,4385.04,11.099999999999966
9049,9050,L56229,L,297.3,308.5,1545,34.3,74,0,No Failure,5549.47,2689.47,11.199999999999989
9050,9051,M23910,M,297.4,308.5,1566,31.4,76,0,No Failure,5149.32,2289.32,11.100000000000023
9051,9052,L56231,L,297.4,308.6,1820,24.6,79,0,No Failure,4688.51,1828.51,11.200000000000045
9052,9053,M23912,M,297.4,308.6,1901,22.1,81,0,No Failure,4399.5,1539.5,11.200000000000045
9053,9054,M23913,M,297.4,308.5,1638,32.2,84,0,No Failure,5523.3,2663.3,11.100000000000023
9054,9055,M23914,M,297.3,308.4,1521,38.2,87,0,No Failure,6084.45,3224.45,11.099999999999966
9055,9056,H38469,H,297.3,308.4,1864,23.1,90,0,No Failure,4509.07,1649.07,11.099999999999966
9056,9057,L56236,L,297.3,308.3,1430,41.9,95,0,No Failure,6274.49,3414.49,11.0
9057,9058,M23917,M,297.3,308.4,1686,34.5,97,0,No Failure,6091.23,3231.23,11.099999999999966
9058,9059,M23918,M,297.2,308.3,1326,57.2,100,0,No Failure,7942.7,5082.7,11.100000000000023
9059,9060,L56239,L,297.2,308.3,1805,25.6,103,0,No Failure,4838.89,1978.89,11.100000000000023
9060,9061,H38474,H,297.2,308.3,1453,45.8,105,0,No Failure,6968.83,4108.83,11.100000000000023
9061,9062,M23921,M,297.2,308.4,1863,26.0,110,0,No Failure,5072.42,2212.42,11.199999999999989
9062,9063,L56242,L,297.2,308.3,1576,35.3,113,0,No Failure,5825.85,2965.85,11.100000000000023
9063,9064,L56243,L,297.2,308.3,1419,39.7,115,0,No Failure,5899.31,3039.31,11.100000000000023
9064,9065,L56244,L,297.2,308.4,1833,25.2,117,0,No Failure,4837.17,1977.17,11.199999999999989
9065,9066,H38479,H,297.2,308.4,2182,17.3,119,0,No Failure,3953.02,1093.02,11.199999999999989
9066,9067,L56246,L,297.2,308.3,1656,30.3,124,0,No Failure,5254.5,2394.5,11.100000000000023
9067,9068,L56247,L,297.1,308.2,1351,56.6,126,0,No Failure,8007.56,5147.56,11.099999999999966
9068,9069,H38482,H,297.1,308.2,1790,30.3,128,0,No Failure,5679.69,2819.69,11.099999999999966
9069,9070,M23929,M,297.2,308.2,1678,28.1,133,0,No Failure,4937.72,2077.72,11.0
9070,9071,L56250,L,297.1,308.2,1427,45.2,136,0,No Failure,6754.47,3894.47,11.099999999999966
9071,9072,L56251,L,297.0,308.1,1429,54.0,138,0,No Failure,8080.8,5220.8,11.100000000000023
9072,9073,H38486,H,297.2,308.1,1770,27.2,140,0,No Failure,5041.63,2181.63,10.900000000000034
9073,9074,L56253,L,297.2,308.1,1689,31.2,145,0,No Failure,5518.4,2658.4,10.900000000000034
9074,9075,M23934,M,297.2,308.1,1554,41.3,147,0,No Failure,6720.93,3860.93,10.900000000000034
9075,9076,L56255,L,297.3,308.1,1506,36.0,150,0,No Failure,5677.49,2817.49,10.800000000000011
9076,9077,L56256,L,297.2,308.1,1474,44.3,152,0,No Failure,6838.01,3978.01,10.900000000000034
9077,9078,L56257,L,297.3,308.1,1762,26.1,154,0,No Failure,4815.87,1955.87,10.800000000000011
9078,9079,L56258,L,297.3,308.1,1566,35.7,156,0,No Failure,5854.48,2994.48,10.800000000000011
9079,9080,H38493,H,297.3,308.1,1554,42.4,158,0,No Failure,6899.94,4039.94,10.800000000000011
9080,9081,L56260,L,297.2,308.0,1869,25.4,163,0,No Failure,4971.32,2111.32,10.800000000000011
9081,9082,L56261,L,297.3,308.0,1527,35.1,165,0,No Failure,5612.74,2752.74,10.699999999999989
9082,9083,L56262,L,297.2,307.9,1309,49.6,167,0,No Failure,6799.08,3939.08,10.699999999999989
9083,9084,M23943,M,297.2,307.9,1541,35.7,169,0,No Failure,5761.02,2901.02,10.699999999999989
9084,9085,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure,10469.92,7609.92,10.699999999999989
9085,9086,H38499,H,297.1,307.9,1365,54.0,174,0,No Failure,7718.89,4858.89,10.799999999999955
9086,9087,L56266,L,297.1,307.8,1428,43.7,179,0,No Failure,6534.89,3674.89,10.699999999999989
9087,9088,L56267,L,297.1,307.8,1681,27.6,181,0,No Failure,4858.54,1998.54,10.699999999999989
9088,9089,M23948,M,297.1,307.9,1662,26.9,183,0,No Failure,4681.79,1821.79,10.799999999999955
9089,9090,L56269,L,297.2,307.9,1989,20.3,186,0,No Failure,4228.24,1368.24,10.699999999999989
9090,9091,M23950,M,297.2,307.9,1747,29.0,188,0,No Failure,5305.42,2445.42,10.699999999999989
9091,9092,M23951,M,297.2,308.0,1765,31.1,191,0,No Failure,5748.22,2888.22,10.800000000000011
9092,9093,L56272,L,297.3,308.1,1568,34.4,194,0,No Failure,5648.5,2788.5,10.800000000000011
9093,9094,M23953,M,297.3,308.1,1709,30.6,196,0,No Failure,5476.36,2616.36,10.800000000000011
9094,9095,M23954,M,297.3,308.1,1370,58.8,199,0,No Failure,8435.8,5575.8,10.800000000000011
9095,9096,L56275,L,297.3,308.1,1458,45.7,202,0,No Failure,6977.54,4117.54,10.800000000000011
9096,9097,L56276,L,297.2,308.1,1712,30.9,204,0,No Failure,5539.76,2679.76,10.900000000000034
9097,9098,L56277,L,297.3,308.1,1642,36.9,206,0,No Failure,6344.95,3484.95,10.800000000000011
9098,9099,L56278,L,297.3,308.1,1468,49.8,0,0,No Failure,7655.68,4795.68,10.800000000000011
9099,9100,H38513,H,297.3,308.1,1477,52.3,2,0,No Failure,8089.3,5229.3,10.800000000000011
9100,9101,L56280,L,297.3,308.2,1446,53.5,7,0,No Failure,8101.22,5241.22,10.899999999999977
9101,9102,H38515,H,297.3,308.2,1653,31.4,9,0,No Failure,5435.4,2575.4,10.899999999999977
9102,9103,L56282,L,297.3,308.3,1494,38.2,14,0,No Failure,5976.44,3116.44,11.0
9103,9104,L56283,L,297.3,308.2,1490,41.0,16,0,No Failure,6397.33,3537.33,10.899999999999977
9104,9105,M23964,M,297.4,308.3,1550,47.8,18,0,No Failure,7758.69,4898.69,10.900000000000034
9105,9106,M23965,M,297.3,308.2,1677,34.9,21,0,No Failure,6128.96,3268.96,10.899999999999977
9106,9107,L56286,L,297.4,308.3,1854,21.8,24,0,No Failure,4232.48,1372.48,10.900000000000034
9107,9108,M23967,M,297.5,308.5,1662,30.3,26,0,No Failure,5273.54,2413.54,11.0
9108,9109,M23968,M,297.5,308.6,1440,38.8,29,0,No Failure,5850.9,2990.9,11.100000000000023
9109,9110,L56289,L,297.5,308.6,1513,39.7,32,0,No Failure,6290.11,3430.11,11.100000000000023
9110,9111,M23970,M,297.6,308.6,1389,49.0,34,0,No Failure,7127.33,4267.33,11.0
9111,9112,L56291,L,297.6,308.6,1351,51.0,37,0,No Failure,7215.3,4355.3,11.0
9112,9113,M23972,M,297.6,308.6,1482,38.3,39,0,No Failure,5943.96,3083.96,11.0
9113,9114,L56293,L,297.6,308.6,1744,28.5,42,0,No Failure,5204.99,2344.99,11.0
9114,9115,L56294,L,297.6,308.7,1476,39.0,44,0,No Failure,6028.09,3168.09,11.099999999999966
9115,9116,M23975,M,297.6,308.6,1444,48.2,46,0,No Failure,7288.58,4428.58,11.0
9116,9117,H38530,H,297.6,308.7,1659,32.1,49,0,No Failure,5576.74,2716.74,11.099999999999966
9117,9118,M23977,M,297.6,308.7,1475,46.6,54,0,No Failure,7197.91,4337.91,11.099999999999966
9118,9119,L56298,L,297.6,308.6,1526,42.1,57,0,No Failure,6727.68,3867.68,11.0
9119,9120,M23979,M,297.4,308.4,1675,29.5,59,0,No Failure,5174.46,2314.46,11.0
9120,9121,L56300,L,297.4,308.4,1525,38.7,62,0,No Failure,6180.3,3320.3,11.0
9121,9122,L56301,L,297.3,308.3,1396,45.9,64,0,No Failure,6710.06,3850.06,11.0
9122,9123,L56302,L,297.4,308.4,1580,41.2,66,0,No Failure,6816.84,3956.84,11.0
9123,9124,L56303,L,297.4,308.5,1462,42.8,68,0,No Failure,6552.69,3692.69,11.100000000000023
9124,9125,L56304,L,297.4,308.4,1426,50.4,70,0,No Failure,7526.25,4666.25,11.0
9125,9126,L56305,L,297.4,308.5,1569,34.2,72,0,No Failure,5619.24,2759.24,11.100000000000023
9126,9127,L56306,L,297.4,308.5,1477,40.7,74,0,No Failure,6295.11,3435.11,11.100000000000023
9127,9128,L56307,L,297.4,308.5,1761,27.2,76,0,No Failure,5015.99,2155.99,11.100000000000023
9128,9129,M23988,M,297.5,308.6,1486,45.9,78,0,No Failure,7142.66,4282.66,11.100000000000023
9129,9130,L56309,L,297.6,308.6,1664,30.1,81,0,No Failure,5245.04,2385.04,11.0
9130,9131,L56310,L,297.6,308.6,1576,32.7,83,0,No Failure,5396.75,2536.75,11.0
9131,9132,H38545,H,297.6,308.6,1463,46.7,85,0,No Failure,7154.67,4294.67,11.0
9132,9133,M23992,M,297.6,308.6,1585,42.0,90,0,No Failure,6971.19,4111.19,11.0
9133,9134,L56313,L,297.7,308.7,1479,45.7,93,0,No Failure,7078.04,4218.04,11.0
9134,9135,L56314,L,297.7,308.7,1449,40.2,95,0,No Failure,6099.9,3239.9,11.0
9135,9136,H38549,H,297.7,308.8,1404,50.3,97,0,No Failure,7395.43,4535.43,11.100000000000023
9136,9137,L56316,L,297.7,308.7,1694,29.1,102,0,No Failure,5162.2,2302.2,11.0
9137,9138,L56317,L,297.7,308.7,1731,28.4,104,0,No Failure,5148.07,2288.07,11.0
9138,9139,L56318,L,297.6,308.6,1522,37.0,106,0,No Failure,5897.19,3037.19,11.0
9139,9140,L56319,L,297.5,308.5,1536,36.9,108,0,No Failure,5935.35,3075.35,11.0
9140,9141,L56320,L,297.5,308.5,1373,39.9,110,0,No Failure,5736.83,2876.83,11.0
9141,9142,L56321,L,297.5,308.5,1597,36.4,112,0,No Failure,6087.44,3227.44,11.0
